query_id,scene_id,object_a,label_a,object_b,label_b,descriptor_a_l3,descriptor_b_l3,n_candidates_a,n_candidates_b,n_same_category_with_desc_a,n_same_category_with_desc_b,unique_l3_a,unique_l3_b,unique_l3_both,total_candidate_pairs,compatible_pairs_by_l3,pair_reduction_ratio,matching_ids_a,matching_ids_b
test_stage1_dn_0015,scene0101_00,scene0101_00__bed_032,bed,scene0101_00__desk_027,desk,"upper-left area of the scene; near monitor, table","left side of the scene; near chair, sofa",1,1,1,1,True,True,True,1,1,1.0,scene0101_00__bed_032,scene0101_00__desk_027
test_stage1_dn_0016,scene0101_00,scene0101_00__desk_027,desk,scene0101_00__sofa_019,sofa,"left side of the scene; near chair, bed","lower-left area of the scene; near chair, cabinet",1,1,1,1,True,True,True,1,1,1.0,scene0101_00__desk_027,scene0101_00__sofa_019
test_stage1_dn_0017,scene0106_00,scene0106_00__chair_010,chair,scene0106_00__door_037,door,"upper part of the scene; 1 of 13 chairs (top to bottom); near monitor, table","upper-right area of the scene; near monitor, table",13,1,1,1,True,True,True,13,1,0.07692307692307693,scene0106_00__chair_010,scene0106_00__door_037
test_stage1_dn_0018,scene0106_00,scene0106_00__chair_018,chair,scene0106_00__monitor_033,monitor,"left side of the scene; 9 of 13 chairs (top to bottom); near table, door","left side of the scene; 3 of 6 monitors (top to bottom); near table, door",13,6,1,1,True,True,True,78,1,0.01282051282051282,scene0106_00__chair_018,scene0106_00__monitor_033
test_stage1_dn_0019,scene0106_00,scene0106_00__chair_018,chair,scene0106_00__table_002,table,"left side of the scene; 9 of 13 chairs (top to bottom); near monitor, door","upper-left area of the scene; 1 of 4 tables (top to bottom); near monitor, door",13,4,1,1,True,True,True,52,1,0.019230769230769232,scene0106_00__chair_018,scene0106_00__table_002
test_stage1_dn_0020,scene0110_00,scene0110_00__bed_013,bed,scene0110_00__door_004,door,"lower-left area of the scene; 1 of 2 beds (left to right); near desk, chair","left side of the scene; 2 of 2 doors (left to right); near desk, chair",2,2,1,1,True,True,True,4,1,0.25,scene0110_00__bed_013,scene0110_00__door_004
test_stage1_dn_0021,scene0110_00,scene0110_00__chair_000,chair,scene0110_00__door_004,door,"lower part of the scene; 2 of 2 chairs (top to bottom); near desk, bed","left side of the scene; 2 of 2 doors (left to right); near bed, desk",2,2,1,1,True,True,True,4,1,0.25,scene0110_00__chair_000,scene0110_00__door_004
test_stage1_dn_0022,scene0110_00,scene0110_00__desk_014,desk,scene0110_00__door_004,door,"lower-left area of the scene; 1 of 2 desks (left to right); near chair, bed","left side of the scene; 2 of 2 doors (left to right); near bed, chair",2,2,1,1,True,True,True,4,1,0.25,scene0110_00__desk_014,scene0110_00__door_004
test_stage1_dn_0023,scene0132_00,scene0132_00__chair_001,chair,scene0132_00__monitor_014,monitor,"upper-left area of the scene; 1 of 10 chairs (left to right); near table, sofa","upper-left area of the scene; near table, sofa",10,1,1,1,True,True,True,10,1,0.1,scene0132_00__chair_001,scene0132_00__monitor_014
test_stage1_dn_0024,scene0132_00,scene0132_00__sofa_002,sofa,scene0132_00__table_010,table,"lower-left area of the scene; near chair, monitor","lower-left area of the scene; 2 of 4 tables (left to right); near chair, monitor",1,4,1,1,True,True,True,4,1,0.25,scene0132_00__sofa_002,scene0132_00__table_010
test_stage1_dn_0025,scene0137_01,scene0137_01__bed_003,bed,scene0137_01__door_034,door,"lower part of the scene; 2 of 3 beds (left to right); near table, chair","right side of the scene; 4 of 4 doors (top to bottom); near chair, monitor",3,4,1,1,True,True,True,12,1,0.08333333333333333,scene0137_01__bed_003,scene0137_01__door_034
test_stage1_dn_0026,scene0137_01,scene0137_01__chair_007,chair,scene0137_01__monitor_009,monitor,"upper-left area of the scene; 1 of 2 chairs (left to right); near desk, bed","upper-left area of the scene; 2 of 2 monitors (top to bottom); near desk, bed",2,2,1,1,True,True,True,4,1,0.25,scene0137_01__chair_007,scene0137_01__monitor_009
test_stage1_dn_0027,scene0137_01,scene0137_01__desk_000,desk,scene0137_01__monitor_013,monitor,"upper-left area of the scene; near chair, bed","upper-left area of the scene; 1 of 2 monitors (top to bottom); near chair, bed",1,2,1,1,True,True,True,2,1,0.5,scene0137_01__desk_000,scene0137_01__monitor_013
test_stage1_dn_0028,scene0138_00,scene0138_00__desk_018,desk,scene0138_00__monitor_005,monitor,"lower part of the scene; 3 of 3 desks (left to right); near cabinet, chair","center of the scene; 5 of 7 monitors (left to right); near cabinet, chair",3,7,1,1,True,True,True,21,1,0.047619047619047616,scene0138_00__desk_018,scene0138_00__monitor_005
test_stage1_dn_0029,scene0140_00,scene0140_00__chair_025,chair,scene0140_00__door_034,door,"lower part of the scene; 24 of 24 chairs (top to bottom); near table, cabinet","lower part of the scene; 2 of 2 doors (top to bottom); near cabinet, table",24,2,1,1,True,True,True,48,1,0.020833333333333332,scene0140_00__chair_025,scene0140_00__door_034
test_stage1_dn_0030,scene0140_00,scene0140_00__chair_046,chair,scene0140_00__table_001,table,"upper part of the scene; 7 of 24 chairs (top to bottom); near cabinet, door","center of the scene; near cabinet, door",24,1,1,1,True,True,True,24,1,0.041666666666666664,scene0140_00__chair_046,scene0140_00__table_001
test_stage1_dn_0031,scene0141_00,scene0141_00__cabinet_057,cabinet,scene0141_00__desk_012,desk,"left side of the scene; 1 of 4 cabinets (left to right); near chair, monitor","upper part of the scene; 1 of 3 desks (top to bottom); near monitor, chair",4,3,1,1,True,True,True,12,1,0.08333333333333333,scene0141_00__cabinet_057,scene0141_00__desk_012
test_stage1_dn_0032,scene0141_00,scene0141_00__desk_011,desk,scene0141_00__sofa_001,sofa,"lower-right area of the scene; 3 of 3 desks (top to bottom); near monitor, cabinet","lower part of the scene; near door, monitor",3,1,1,1,True,True,True,3,1,0.3333333333333333,scene0141_00__desk_011,scene0141_00__sofa_001
test_stage1_dn_0033,scene0141_00,scene0141_00__door_023,door,scene0141_00__sofa_001,sofa,"lower-left area of the scene; 1 of 2 doors (left to right); near chair, cabinet","lower part of the scene; near monitor, desk",2,1,1,1,True,True,True,2,1,0.5,scene0141_00__door_023,scene0141_00__sofa_001
test_stage1_dn_0034,scene0142_00,scene0142_00__cabinet_037,cabinet,scene0142_00__chair_019,chair,"right side of the scene; 4 of 4 cabinets (left to right); near monitor, table","right side of the scene; 4 of 5 chairs (top to bottom); near monitor, table",4,5,1,1,True,True,True,20,1,0.05,scene0142_00__cabinet_037,scene0142_00__chair_019
test_stage1_dn_0035,scene0142_00,scene0142_00__cabinet_037,cabinet,scene0142_00__table_006,table,"right side of the scene; 4 of 4 cabinets (left to right); near monitor, chair","lower-right area of the scene; 4 of 5 tables (top to bottom); near monitor, chair",4,5,1,1,True,True,True,20,1,0.05,scene0142_00__cabinet_037,scene0142_00__table_006
test_stage1_dn_0036,scene0142_00,scene0142_00__monitor_035,monitor,scene0142_00__table_005,table,"upper-right area of the scene; 2 of 5 monitors (top to bottom); near chair, desk","right side of the scene; 2 of 5 tables (top to bottom); near chair, cabinet",5,5,1,1,True,True,True,25,1,0.04,scene0142_00__monitor_035,scene0142_00__table_005
test_stage1_dn_0037,scene0143_01,scene0143_01__bed_011,bed,scene0143_01__cabinet_004,cabinet,"upper part of the scene; near monitor, chair","lower part of the scene; 2 of 2 cabinets (left to right); near monitor, desk",1,2,1,1,True,True,True,2,1,0.5,scene0143_01__bed_011,scene0143_01__cabinet_004
test_stage1_dn_0038,scene0143_01,scene0143_01__cabinet_004,cabinet,scene0143_01__desk_008,desk,"lower part of the scene; 2 of 2 cabinets (left to right); near monitor, bed","lower-right area of the scene; near chair, monitor",2,1,1,1,True,True,True,2,1,0.5,scene0143_01__cabinet_004,scene0143_01__desk_008
test_stage1_dn_0039,scene0144_00,scene0144_00__bed_000,bed,scene0144_00__door_019,door,"upper-left area of the scene; near chair, table","lower-left area of the scene; 1 of 3 doors (left to right); near chair, table",1,3,1,1,True,True,True,3,1,0.3333333333333333,scene0144_00__bed_000,scene0144_00__door_019
test_stage1_dn_0040,scene0144_00,scene0144_00__chair_003,chair,scene0144_00__table_001,table,"upper part of the scene; 1 of 3 chairs (top to bottom); near bed, door","upper part of the scene; near bed, door",3,1,1,1,True,True,True,3,1,0.3333333333333333,scene0144_00__chair_003,scene0144_00__table_001
test_stage1_dn_0041,scene0144_00,scene0144_00__chair_021,chair,scene0144_00__door_011,door,"lower part of the scene; 3 of 3 chairs (top to bottom); near bed, table","lower-left area of the scene; 2 of 3 doors (left to right); near bed, table",3,3,1,1,True,True,True,9,1,0.1111111111111111,scene0144_00__chair_021,scene0144_00__door_011
test_stage1_dn_0042,scene0181_00,scene0181_00__chair_002,chair,scene0181_00__door_028,door,"left side of the scene; 4 of 4 chairs (left to right); near table, cabinet","lower part of the scene; 1 of 2 doors (left to right); near table, sofa",4,2,1,1,True,True,True,8,1,0.125,scene0181_00__chair_002,scene0181_00__door_028
test_stage1_dn_0043,scene0181_00,scene0181_00__door_028,door,scene0181_00__table_023,table,"lower part of the scene; 1 of 2 doors (left to right); near chair, sofa","left side of the scene; 1 of 2 tables (left to right); near chair, cabinet",2,2,1,1,True,True,True,4,1,0.25,scene0181_00__door_028,scene0181_00__table_023
test_stage1_dn_0044,scene0181_00,scene0181_00__sofa_024,sofa,scene0181_00__table_005,table,"right side of the scene; near door, cabinet","right side of the scene; 2 of 2 tables (left to right); near cabinet, door",1,2,1,1,True,True,True,2,1,0.5,scene0181_00__sofa_024,scene0181_00__table_005
