scene_id,range,gt_distance_m,pred_distance_m,label_a,label_b,id_correct,model,status
scene0011_00,long,3.1678,3.1257,chair,window,True,llava:13b,ok
scene0011_00,long,4.3111,4.5419,refrigerator,sink,True,llava:13b,ok
scene0015_00,short,1.1833,,chair,chair,False,llava:13b,grounding_parse_error
scene0015_00,short,1.1997,1.1164,table,table,True,llava:13b,ok
scene0015_00,short,1.1996,3.5425,chair,chair,False,llava:13b,grounding_error
scene0015_00,short,1.344,1.431,chair,chair,True,llava:13b,ok
scene0015_00,short,1.286,1.155,chair,chair,True,llava:13b,ok
scene0015_00,medium,2.3074,,chair,chair,False,llava:13b,grounding_parse_error
scene0015_00,medium,1.9115,1.7169,chair,chair,True,llava:13b,ok
scene0015_00,medium,2.0705,2.0341,chair,table,True,llava:13b,ok
scene0015_00,long,3.3128,,chair,chair,True,llava:13b,rgbd_failed
scene0015_00,long,4.3128,5.5897,chair,chair,False,llava:13b,grounding_error
scene0019_00,short,0.7251,0.7315,chair,chair,True,llava:13b,ok
scene0019_00,short,1.0935,1.0717,chair,chair,True,llava:13b,ok
scene0019_00,short,0.7055,,chair,chair,False,llava:13b,grounding_parse_error
scene0019_00,short,0.7828,0.8688,chair,chair,True,llava:13b,ok
scene0019_00,short,0.7368,0.7279,chair,chair,True,llava:13b,ok
scene0019_00,medium,1.5226,,chair,chair,False,llava:13b,grounding_parse_error
scene0019_00,medium,2.1948,,chair,chair,True,llava:13b,rgbd_failed
scene0019_00,medium,1.6563,,chair,chair,False,llava:13b,grounding_parse_error
scene0019_00,long,4.2264,,chair,chair,True,llava:13b,rgbd_failed
scene0019_00,long,5.0422,,chair,lamp,False,llava:13b,grounding_parse_error
scene0030_00,short,0.8014,0.7626,chair,chair,True,llava:13b,ok
scene0030_00,short,1.0653,1.1989,bookshelf,door,True,llava:13b,ok
scene0030_00,short,1.0696,5.3171,chair,table,False,llava:13b,grounding_error
scene0030_00,short,1.4569,1.4123,chair,bookshelf,True,llava:13b,ok
scene0030_00,short,0.8358,,table,window,False,llava:13b,grounding_parse_error
scene0030_00,medium,1.6528,1.7278,chair,table,True,llava:13b,ok
scene0030_00,medium,2.699,,chair,bookshelf,True,llava:13b,rgbd_failed
scene0030_00,medium,1.5373,1.5859,chair,chair,True,llava:13b,ok
scene0030_00,long,4.9555,,window,bookshelf,False,llava:13b,grounding_parse_error
scene0030_00,long,3.3423,,chair,chair,True,llava:13b,rgbd_failed
scene0045_00,short,0.7768,0.9686,chair,table,True,llava:13b,ok
scene0045_00,short,0.822,0.8649,chair,table,True,llava:13b,ok
scene0045_00,medium,2.7634,,table,table,True,llava:13b,rgbd_failed
scene0045_00,medium,1.955,1.9987,chair,table,True,llava:13b,ok
scene0045_00,long,3.2114,3.0427,table,table,True,llava:13b,ok
scene0045_00,long,3.2704,3.1768,chair,table,True,llava:13b,ok
scene0050_00,short,0.9157,0.9475,desk,lamp,True,llava:13b,ok
scene0050_00,short,1.1603,1.0482,desk,door,True,llava:13b,ok
scene0050_00,short,1.0681,1.0827,door,door,True,llava:13b,ok
scene0050_00,short,0.9096,0.9218,chair,lamp,True,llava:13b,ok
scene0050_00,short,1.1388,,chair,desk,False,llava:13b,grounding_parse_error
scene0050_00,medium,2.5941,,lamp,door,False,llava:13b,grounding_parse_error
scene0050_00,medium,1.8164,,lamp,door,False,llava:13b,grounding_parse_error
scene0050_00,medium,2.2278,2.1097,chair,door,True,llava:13b,ok
scene0062_00,short,1.2625,,door,sink,False,llava:13b,grounding_parse_error
scene0062_00,short,1.4564,,counter,door,True,llava:13b,rgbd_failed
scene0062_00,short,0.5059,,counter,sink,False,llava:13b,grounding_parse_error
scene0062_00,medium,2.2909,,toilet,sink,False,llava:13b,grounding_parse_error
scene0062_00,medium,1.9457,,toilet,door,False,llava:13b,grounding_parse_error
scene0062_00,medium,2.0262,,counter,toilet,True,llava:13b,rgbd_failed
scene0077_00,short,0.6046,0.6152,cabinet,counter,True,llava:13b,ok
scene0077_00,short,1.4741,1.4119,counter,table,True,llava:13b,ok
scene0077_00,short,1.2117,1.2306,cabinet,table,True,llava:13b,ok
scene0077_00,short,1.3642,1.3075,window,counter,True,llava:13b,ok
scene0077_00,medium,2.09,,door,table,True,llava:13b,rgbd_failed
scene0077_00,medium,1.6129,1.5702,window,cabinet,True,llava:13b,ok
scene0077_00,medium,1.8982,1.8633,window,table,True,llava:13b,ok
scene0077_00,long,3.1964,,counter,door,False,llava:13b,grounding_parse_error
scene0077_00,long,3.6017,,window,door,True,llava:13b,rgbd_failed
scene0086_00,short,1.0614,2.8585,toilet,sink,False,llava:13b,grounding_error
scene0086_00,short,1.3918,1.3854,door,door,True,llava:13b,ok
scene0086_00,short,0.6153,0.5617,sink,sink,True,llava:13b,ok
scene0086_00,medium,2.9514,1.6597,toilet,window,False,llava:13b,grounding_error
scene0086_00,medium,2.8585,,toilet,sink,True,llava:13b,rgbd_failed
scene0086_00,medium,1.6597,1.5393,toilet,window,True,llava:13b,ok
scene0086_00,long,3.3372,4.7983,toilet,door,False,llava:13b,grounding_error
scene0086_00,long,4.9091,,door,window,False,llava:13b,grounding_parse_error
scene0100_00,short,1.2613,,sink,window,True,llava:13b,rgbd_failed
scene0100_00,short,1.4408,,toilet,window,True,llava:13b,rgbd_failed
scene0100_00,short,1.0826,0.897,toilet,bathtub,True,llava:13b,ok
scene0100_00,medium,1.9788,,sink,toilet,True,llava:13b,rgbd_failed
scene0100_00,medium,2.526,,door,window,False,llava:13b,grounding_parse_error
scene0100_00,medium,2.5793,,sink,bathtub,True,llava:13b,rgbd_failed
scene0114_00,short,1.4792,,cabinet,desk,False,llava:13b,grounding_parse_error
scene0114_00,short,0.7895,2.1913,chair,desk,False,llava:13b,grounding_error
scene0114_00,short,1.4753,1.3681,chair,monitor,True,llava:13b,ok
scene0114_00,short,0.7265,0.8821,chair,cabinet,True,llava:13b,ok
scene0114_00,short,0.8593,0.9241,chair,cabinet,True,llava:13b,ok
scene0114_00,medium,2.5679,,chair,cabinet,True,llava:13b,rgbd_failed
scene0114_00,medium,2.554,2.4785,cabinet,monitor,True,llava:13b,ok
scene0114_00,medium,2.0242,3.1897,desk,window,False,llava:13b,grounding_error
scene0114_00,long,3.6091,,chair,cabinet,True,llava:13b,rgbd_failed
scene0114_00,long,3.1776,,chair,cabinet,True,llava:13b,rgbd_failed
scene0139_00,short,1.0298,1.0553,door,sink,True,llava:13b,ok
scene0139_00,medium,1.9821,,cabinet,door,True,llava:13b,rgbd_failed
scene0139_00,medium,2.6565,,cabinet,sink,False,llava:13b,grounding_parse_error
scene0139_00,medium,2.5237,,sink,table,False,llava:13b,grounding_parse_error
scene0153_00,short,0.8011,0.7888,sink,toilet,True,llava:13b,ok
scene0153_00,short,0.9589,,sink,cabinet,True,llava:13b,rgbd_failed
scene0153_00,short,0.992,0.8152,toilet,cabinet,True,llava:13b,ok
scene0153_00,short,1.204,1.1002,toilet,bathtub,True,llava:13b,ok
scene0153_00,medium,1.7155,,cabinet,bathtub,True,llava:13b,rgbd_failed
scene0153_00,medium,1.8823,,sink,door,True,llava:13b,rgbd_failed
scene0153_00,medium,1.7877,,door,bathtub,False,llava:13b,grounding_parse_error
scene0164_00,short,1.3804,,counter,refrigerator,False,llava:13b,grounding_parse_error
scene0164_00,medium,2.0913,,door,refrigerator,False,llava:13b,grounding_parse_error
scene0164_00,long,3.0605,,counter,door,False,llava:13b,grounding_parse_error
scene0181_00,short,0.707,,sink,window,False,llava:13b,grounding_parse_error
scene0181_00,short,0.6317,0.3893,chair,chair,True,llava:13b,ok
scene0181_00,short,0.8163,0.7057,chair,table,True,llava:13b,ok
scene0181_00,short,1.5,1.5497,refrigerator,window,True,llava:13b,ok
scene0181_00,short,0.3184,0.2406,chair,table,True,llava:13b,ok
scene0181_00,medium,1.9052,1.9513,door,window,True,llava:13b,ok
scene0181_00,medium,2.7585,2.7279,chair,window,True,llava:13b,ok
scene0181_00,medium,2.4986,2.5461,chair,sink,True,llava:13b,ok
scene0181_00,long,3.4176,3.3928,chair,window,True,llava:13b,ok
scene0181_00,long,6.1744,,sink,window,False,llava:13b,grounding_parse_error
scene0207_00,short,1.4682,2.8047,door,sink,False,llava:13b,grounding_error
scene0207_00,short,1.1592,,nightstand,bed,False,llava:13b,grounding_parse_error
scene0207_00,short,1.0757,,chair,desk,False,llava:13b,grounding_parse_error
scene0207_00,short,1.4077,,bed,desk,False,llava:13b,grounding_parse_error
scene0207_00,short,0.8596,0.8478,refrigerator,door,True,llava:13b,ok
scene0207_00,medium,2.2698,,toilet,table,True,llava:13b,rgbd_failed
scene0207_00,medium,2.8869,,door,refrigerator,True,llava:13b,rgbd_failed
scene0207_00,medium,1.696,3.8987,door,sink,False,llava:13b,grounding_error
scene0207_00,long,4.4436,,door,window,True,llava:13b,rgbd_failed
scene0207_00,long,6.0386,,nightstand,refrigerator,False,llava:13b,grounding_parse_error
scene0222_00,short,0.9858,,nightstand,pillow,False,llava:13b,grounding_parse_error
scene0222_00,short,1.47,1.4292,window,window,True,llava:13b,ok
scene0222_00,short,1.0445,,bed,window,False,llava:13b,grounding_parse_error
scene0222_00,short,1.4316,,bed,nightstand,False,llava:13b,grounding_parse_error
scene0222_00,short,1.4702,1.5987,chair,desk,True,llava:13b,ok
scene0222_00,medium,2.9739,,desk,pillow,False,llava:13b,grounding_parse_error
scene0222_00,medium,1.8881,1.9436,bed,desk,False,llava:13b,grounding_error
scene0222_00,medium,2.7797,,desk,window,False,llava:13b,grounding_parse_error
scene0222_00,long,3.56,,bed,nightstand,False,llava:13b,grounding_parse_error
scene0222_00,long,4.2098,,bed,pillow,False,llava:13b,grounding_parse_error
