scene_id,range,gt_distance_m,pred_distance_m,label_a,label_b,id_correct,model,status
scene0011_00,long,3.1678,3.1257,chair,window,True,gpt-4.1,ok
scene0011_00,long,4.3111,4.5419,refrigerator,sink,True,gpt-4.1,ok
scene0015_00,short,1.1833,,chair,chair,False,gpt-4.1,grounding_parse_error
scene0015_00,short,1.1997,1.1164,table,table,True,gpt-4.1,ok
scene0015_00,short,1.1996,1.2319,chair,chair,True,gpt-4.1,ok
scene0015_00,short,1.344,1.431,chair,chair,True,gpt-4.1,ok
scene0015_00,short,1.286,1.155,chair,chair,True,gpt-4.1,ok
scene0015_00,medium,2.3074,,chair,chair,False,gpt-4.1,grounding_parse_error
scene0015_00,medium,1.9115,1.7169,chair,chair,True,gpt-4.1,ok
scene0015_00,medium,2.0705,2.0341,chair,table,True,gpt-4.1,ok
scene0015_00,long,3.3128,,chair,chair,True,gpt-4.1,rgbd_failed
scene0015_00,long,4.3128,,chair,chair,True,gpt-4.1,rgbd_failed
scene0019_00,short,0.7251,0.7315,chair,chair,True,gpt-4.1,ok
scene0019_00,short,1.0935,1.0717,chair,chair,True,gpt-4.1,ok
scene0019_00,short,0.7055,0.6954,chair,chair,True,gpt-4.1,ok
scene0019_00,short,0.7828,0.8688,chair,chair,True,gpt-4.1,ok
scene0019_00,short,0.7368,0.7279,chair,chair,True,gpt-4.1,ok
scene0019_00,medium,1.5226,,chair,chair,False,gpt-4.1,grounding_parse_error
scene0019_00,medium,2.1948,,chair,chair,True,gpt-4.1,rgbd_failed
scene0019_00,medium,1.6563,,chair,chair,False,gpt-4.1,grounding_parse_error
scene0019_00,long,4.2264,,chair,chair,True,gpt-4.1,rgbd_failed
scene0019_00,long,5.0422,,chair,lamp,True,gpt-4.1,rgbd_failed
scene0030_00,short,0.8014,0.7626,chair,chair,True,gpt-4.1,ok
scene0030_00,short,1.0653,1.1989,bookshelf,door,True,gpt-4.1,ok
scene0030_00,short,1.0696,1.0527,chair,table,True,gpt-4.1,ok
scene0030_00,short,1.4569,1.4123,chair,bookshelf,True,gpt-4.1,ok
scene0030_00,short,0.8358,0.5802,table,window,True,gpt-4.1,ok
scene0030_00,medium,1.6528,1.7278,chair,table,True,gpt-4.1,ok
scene0030_00,medium,2.699,,chair,bookshelf,True,gpt-4.1,rgbd_failed
scene0030_00,medium,1.5373,1.5859,chair,chair,True,gpt-4.1,ok
scene0030_00,long,4.9555,,window,bookshelf,True,gpt-4.1,rgbd_failed
scene0030_00,long,3.3423,,chair,chair,True,gpt-4.1,rgbd_failed
scene0045_00,short,0.7768,0.9686,chair,table,True,gpt-4.1,ok
scene0045_00,short,0.822,0.8649,chair,table,True,gpt-4.1,ok
scene0045_00,medium,2.7634,,table,table,True,gpt-4.1,rgbd_failed
scene0045_00,medium,1.955,1.9987,chair,table,True,gpt-4.1,ok
scene0045_00,long,3.2114,3.0427,table,table,True,gpt-4.1,ok
scene0045_00,long,3.2704,3.1768,chair,table,True,gpt-4.1,ok
scene0050_00,short,0.9157,0.9475,desk,lamp,True,gpt-4.1,ok
scene0050_00,short,1.1603,1.0482,desk,door,True,gpt-4.1,ok
scene0050_00,short,1.0681,1.0827,door,door,True,gpt-4.1,ok
scene0050_00,short,0.9096,0.9218,chair,lamp,True,gpt-4.1,ok
scene0050_00,short,1.1388,1.2778,chair,desk,True,gpt-4.1,ok
scene0050_00,medium,2.5941,,lamp,door,True,gpt-4.1,rgbd_failed
scene0050_00,medium,1.8164,1.653,lamp,door,True,gpt-4.1,ok
scene0050_00,medium,2.2278,2.1097,chair,door,True,gpt-4.1,ok
scene0062_00,short,1.2625,1.1974,door,sink,True,gpt-4.1,ok
scene0062_00,short,1.4564,,counter,door,True,gpt-4.1,rgbd_failed
scene0062_00,short,0.5059,0.5042,counter,sink,True,gpt-4.1,ok
scene0062_00,medium,2.2909,,toilet,sink,True,gpt-4.1,rgbd_failed
scene0062_00,medium,1.9457,,toilet,door,True,gpt-4.1,rgbd_failed
scene0062_00,medium,2.0262,,counter,toilet,True,gpt-4.1,rgbd_failed
scene0077_00,short,0.6046,0.6152,cabinet,counter,True,gpt-4.1,ok
scene0077_00,short,1.4741,1.4119,counter,table,True,gpt-4.1,ok
scene0077_00,short,1.2117,1.2306,cabinet,table,True,gpt-4.1,ok
scene0077_00,short,1.3642,1.3075,window,counter,True,gpt-4.1,ok
scene0077_00,medium,2.09,,door,table,True,gpt-4.1,rgbd_failed
scene0077_00,medium,1.6129,1.5702,window,cabinet,True,gpt-4.1,ok
scene0077_00,medium,1.8982,1.8633,window,table,True,gpt-4.1,ok
scene0077_00,long,3.1964,,counter,door,True,gpt-4.1,rgbd_failed
scene0077_00,long,3.6017,,window,door,True,gpt-4.1,rgbd_failed
scene0086_00,short,1.0614,,toilet,sink,True,gpt-4.1,rgbd_failed
scene0086_00,short,1.3918,1.3854,door,door,True,gpt-4.1,ok
scene0086_00,short,0.6153,0.5617,sink,sink,True,gpt-4.1,ok
scene0086_00,medium,2.9514,,toilet,window,True,gpt-4.1,rgbd_failed
scene0086_00,medium,2.8585,,toilet,sink,True,gpt-4.1,rgbd_failed
scene0086_00,medium,1.6597,1.5393,toilet,window,True,gpt-4.1,ok
scene0086_00,long,3.3372,,toilet,door,True,gpt-4.1,rgbd_failed
scene0086_00,long,4.9091,,door,window,True,gpt-4.1,rgbd_failed
scene0100_00,short,1.2613,,sink,window,True,gpt-4.1,rgbd_failed
scene0100_00,short,1.4408,,toilet,window,True,gpt-4.1,rgbd_failed
scene0100_00,short,1.0826,0.897,toilet,bathtub,True,gpt-4.1,ok
scene0100_00,medium,1.9788,,sink,toilet,True,gpt-4.1,rgbd_failed
scene0100_00,medium,2.526,,door,window,True,gpt-4.1,rgbd_failed
scene0100_00,medium,2.5793,,sink,bathtub,True,gpt-4.1,rgbd_failed
scene0114_00,short,1.4792,1.4995,cabinet,desk,True,gpt-4.1,ok
scene0114_00,short,0.7895,0.8611,chair,desk,True,gpt-4.1,ok
scene0114_00,short,1.4753,1.3681,chair,monitor,True,gpt-4.1,ok
scene0114_00,short,0.7265,0.8821,chair,cabinet,True,gpt-4.1,ok
scene0114_00,short,0.8593,0.9241,chair,cabinet,True,gpt-4.1,ok
scene0114_00,medium,2.5679,,chair,cabinet,True,gpt-4.1,rgbd_failed
scene0114_00,medium,2.554,2.4785,cabinet,monitor,True,gpt-4.1,ok
scene0114_00,medium,2.0242,2.0606,desk,window,True,gpt-4.1,ok
scene0114_00,long,3.6091,,chair,cabinet,True,gpt-4.1,rgbd_failed
scene0114_00,long,3.1776,,chair,cabinet,True,gpt-4.1,rgbd_failed
scene0139_00,short,1.0298,1.0553,door,sink,True,gpt-4.1,ok
scene0139_00,medium,1.9821,,cabinet,door,True,gpt-4.1,rgbd_failed
scene0139_00,medium,2.6565,,cabinet,sink,True,gpt-4.1,rgbd_failed
scene0139_00,medium,2.5237,,sink,table,True,gpt-4.1,rgbd_failed
scene0153_00,short,0.8011,0.7888,sink,toilet,True,gpt-4.1,ok
scene0153_00,short,0.9589,,sink,cabinet,True,gpt-4.1,rgbd_failed
scene0153_00,short,0.992,0.8152,toilet,cabinet,True,gpt-4.1,ok
scene0153_00,short,1.204,1.1002,toilet,bathtub,True,gpt-4.1,ok
scene0153_00,medium,1.7155,,cabinet,bathtub,True,gpt-4.1,rgbd_failed
scene0153_00,medium,1.8823,,sink,door,True,gpt-4.1,rgbd_failed
scene0153_00,medium,1.7877,,door,bathtub,True,gpt-4.1,rgbd_failed
scene0164_00,short,1.3804,,counter,refrigerator,False,gpt-4.1,grounding_parse_error
scene0164_00,medium,2.0913,2.0773,door,refrigerator,True,gpt-4.1,ok
scene0164_00,long,3.0605,,counter,door,False,gpt-4.1,grounding_parse_error
scene0181_00,short,0.707,0.7609,sink,window,True,gpt-4.1,ok
scene0181_00,short,0.6317,0.3893,chair,chair,True,gpt-4.1,ok
scene0181_00,short,0.8163,0.7057,chair,table,True,gpt-4.1,ok
scene0181_00,short,1.5,1.5497,refrigerator,window,True,gpt-4.1,ok
scene0181_00,short,0.3184,0.2406,chair,table,True,gpt-4.1,ok
scene0181_00,medium,1.9052,1.9513,door,window,True,gpt-4.1,ok
scene0181_00,medium,2.7585,2.7279,chair,window,True,gpt-4.1,ok
scene0181_00,medium,2.4986,2.5461,chair,sink,True,gpt-4.1,ok
scene0181_00,long,3.4176,3.3928,chair,window,True,gpt-4.1,ok
scene0181_00,long,6.1744,,sink,window,True,gpt-4.1,rgbd_failed
scene0207_00,short,1.4682,,door,sink,True,gpt-4.1,rgbd_failed
scene0207_00,short,1.1592,,nightstand,bed,False,gpt-4.1,grounding_parse_error
scene0207_00,short,1.0757,1.1051,chair,desk,True,gpt-4.1,ok
scene0207_00,short,1.4077,1.4228,bed,desk,True,gpt-4.1,ok
scene0207_00,short,0.8596,0.8478,refrigerator,door,True,gpt-4.1,ok
scene0207_00,medium,2.2698,,toilet,table,True,gpt-4.1,rgbd_failed
scene0207_00,medium,2.8869,,door,refrigerator,True,gpt-4.1,rgbd_failed
scene0207_00,medium,1.696,,door,sink,True,gpt-4.1,rgbd_failed
scene0207_00,long,4.4436,,door,window,True,gpt-4.1,rgbd_failed
scene0207_00,long,6.0386,,nightstand,refrigerator,False,gpt-4.1,grounding_parse_error
scene0222_00,short,0.9858,,nightstand,pillow,True,gpt-4.1,rgbd_failed
scene0222_00,short,1.47,1.4292,window,window,True,gpt-4.1,ok
scene0222_00,short,1.0445,1.1491,bed,window,True,gpt-4.1,ok
scene0222_00,short,1.4316,,bed,nightstand,False,gpt-4.1,grounding_parse_error
scene0222_00,short,1.4702,1.5987,chair,desk,True,gpt-4.1,ok
scene0222_00,medium,2.9739,3.0369,desk,pillow,True,gpt-4.1,ok
scene0222_00,medium,1.8881,,bed,desk,False,gpt-4.1,grounding_parse_error
scene0222_00,medium,2.7797,,desk,window,True,gpt-4.1,rgbd_failed
scene0222_00,long,3.56,,bed,nightstand,True,gpt-4.1,rgbd_failed
scene0222_00,long,4.2098,,bed,pillow,True,gpt-4.1,rgbd_failed
